Release Date,Book,Chapter Number,Chapter Name,Speaker,Dialogue,Addressee,Listener,About Character,Mentioned Character,Present
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"He does,",Bran Stark,,Robert Baratheon,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"As did the Targaryen kings before him. Yet our way is the older way. The blood of the First Men still flows in the veins of the Starks, and we hold to the belief that the man who passes the sentence should swing the sword. If you would take a man's life, you owe it to him to look into his eyes and hear his final words. And if you cannot bear to do that, then perhaps the man does not deserve to die. One day, Bran, you will be Robb's bannerman, holding a keep of your own for your brother and your king, and justice will fall to you. When that day comes, you must take no pleasure in the task, but neither must you look away. A ruler who hides behind paid executioners soon forgets what death is.",Bran Stark,,Robb Stark,Robb Stark,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Father, Bran, come quickly, see what Robb has found!",Eddard Stark;Bran Stark,,Robb Stark,Robb Stark,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jory Cassel,"Trouble, my lord?",Eddard Stark,Bran Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"Beyond a doubt,",Jory Cassel,Bran Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"Come, let us see what mischief my sons have rooted out now.",Jory Cassel;Bran Stark,,Robb Stark;Jon Snow,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,Gods!,,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jory Cassel,"Robb, get away from it!",Robb Stark,Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"She can't hurt you,",Jory Cassel,Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"She's dead, Jory.",Jory Cassel,Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,What in the seven hells is it?,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"A wolf,",Theon Greyjoy,Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,"A freak,",Robb Stark,Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,Look at the size of it.,Robb Stark,Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"It's no freak,",Theon Greyjoy,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,That's a direwolf. They grow larger than the other kind.,Theon Greyjoy,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,There's not been a direwolf sighted south of the Wall in two hundred years.,Jon Snow,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"I see one now,",Theon Greyjoy,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"Go on,",Bran Stark,Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,You can touch him.,Bran Stark,Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,Here you go.,Bran Stark,Robb Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,There are five of them.,Bran Stark,Robb Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Hullen,"Direwolves loose in the realm, after so many years,",Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Jon Snow;Desmond;Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Hullen,I like it not.,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Jon Snow;Desmond;Eddard Stark,,,,TRUE
